appid,game_name,genres_text,price_group,top_steam_tags_text,categories_text,play_style,review_count,llm_positive_count,llm_negative_count,llm_mixed_count,high_urgency_count,llm_positive_ratio,llm_negative_ratio,high_urgency_ratio
2333930,Kitchen Sync: Aloha!,"Adventure, Casual, Indie, RPG, Simulation, Strategy",10-20,"Crafting, Story Rich, Management, Cozy, RPG, Party-Based RPG, Simulation, Cooking, Romance, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,68,63,1,4,0,92.6,1.5,0.0
2335550,Delivery Impossible,"Casual, Indie, Racing, Simulation",5-10,"Driving, Transportation, Physics, Offroad, Funny, Automobile Sim, Indie, Simulation, Racing, Casual","Single-player, Steam Achievements, Full controller support, Family Sharing",Single-player 중심,2,2,0,0,0,100.0,0.0,0.0
2339650,Rome: The Mystery of the Chronovisor - Hidden Objects,"Adventure, Casual, Indie",0-5,"Adventure, Hidden Object, Casual, Puzzle, Detective, Family Friendly, Point & Click, Historical, Mystery, Creature Collector","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",Single-player 중심,8,7,1,0,0,87.5,12.5,0.0
2357000,KILL IT WITH FIRE! 2,"Action, Adventure, Casual, Indie, Simulation",10-20,"Colorful, PvP, Singleplayer, Cute, Multiplayer, Funny, Action, Casual, Co-op, Comedy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",멀티/협동 요소 포함,46,37,3,6,2,80.4,6.5,4.3
2376070,Quadrium,"Casual, Indie",5-10,"Casual, Match 3, Puzzle, 2D, Family Friendly, Singleplayer, Indie","Single-player, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
2381600,Steel Republic Rail Defender,"Casual, Indie, Strategy",10-20,"Casual, Strategy, RTS, Tower Defense, Wargame, Realistic, Trains, Cold War, Historical, Transportation","Single-player, Steam Achievements, Family Sharing",Single-player 중심,12,4,4,4,2,33.3,33.3,16.7
2383780,Treasure Hunter: History of Monastery Gold,"Adventure, Indie, Simulation",0-5,"Simulation, Adventure, Walking Simulator, Runner, Exploration, Rogue-lite, Hidden Object, Immersive Sim, Top-Down, Third Person","Single-player, Steam Achievements, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
2387950,Kalevania,"Action, Adventure, Indie",5-10,"Side Scroller, 2D Platformer, Platformer, Character Customization, Action, 2D, Time Manipulation, Colorful, Pixel Graphics, Adventure","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,10,7,1,2,1,70.0,10.0,10.0
2398680,Niktophobia,"Action, Adventure, Indie",5-10,"Horror, Multiplayer, VR, Action, Space, Aliens, Co-op, Exploration, PvE, Immersive Sim","Single-player, Multi-player, Co-op, Online Co-op, Tracked Controller Support, VR Supported, Family Sharing",멀티/협동 요소 포함,24,19,3,2,4,79.2,12.5,16.7
2407240,Super Bear: Hunt for the lost beer,"Action, Adventure, Indie",0-5,"Adventure, Action, 3D Fighter, Beat 'em up, Rogue-like, Action Roguelike, Hidden Object, Hack and Slash, Top-Down Shooter, 3D","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",Single-player 중심,4,2,2,0,1,50.0,50.0,25.0
2417850,Yolk Heroes: A Long Tamago,"Casual, Indie",5-10,"Time Management, Idler, PvE, Life Sim, JRPG, Character Customization, 2D, Cute, Parody , Casual","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,100,83,7,9,9,83.0,7.0,9.0
2454020,Mimi the Cat - New Friends,"Casual, Indie, Strategy",0-5,"Cats, Casual, Family Friendly, Strategy, Cozy, Cute, Sokoban, Wholesome, Tabletop, Top-Down","Single-player, Steam Achievements, Full controller support, Keyboard Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Family Sharing",Single-player 중심,4,4,0,0,0,100.0,0.0,0.0
2455370,Russian Village Simulator,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Strategy",20-40,"Simulation, Life Sim, Agriculture, Fishing, Farming Sim, Crafting, Survival, Relaxing, Farming, Hunting","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, HDR available, Family Sharing",Single-player 중심,5,3,0,2,2,60.0,0.0,40.0
2480800,Donut Land Clicker,"Casual, Indie, Simulation",0-5,"Casual, Simulation, Point & Click, Idler, Clicker, 2D, Pixel Graphics, Atmospheric, Family Friendly, Indie","Single-player, Steam Achievements, Family Sharing",Single-player 중심,2,0,1,1,1,0.0,50.0,50.0
2498730,Cold Verdict 2,"Casual, Indie",0-5,"Interactive Fiction, Visual Novel, Crime, Thriller, Female Protagonist, Detective, Psychological, Atmospheric, Dark, Modern","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",Single-player 중심,2,1,0,1,0,50.0,0.0,0.0
2506140,Biohazard: Escape Room,"Adventure, Casual, Indie",5-10,"Adventure, Casual, Escape Room, Puzzle, Science, Point & Click, Dark, Hidden Object, Mystery, Singleplayer","Single-player, Steam Achievements, Full controller support, Family Sharing",Single-player 중심,3,0,1,2,0,0.0,33.3,0.0
2543490,Train Traffic Manager,"Casual, Indie, Strategy",5-10,"Casual, Strategy, Arcade, Puzzle, Immersive Sim, Time Management, Puzzle-Platformer, 2.5D, Isometric, Colorful","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,3,3,0,0,0,100.0,0.0,0.0
2595540,UBERSLAUGHTER,"Action, Indie, Simulation",5-10,"Spectacle fighter, Arena Shooter, FPS, Capitalism, First-Person, Boomer Shooter, Surreal, Psychological Horror, Dark Humor, Shooter","Single-player, Steam Achievements, Steam Workshop, Family Sharing",Single-player 중심,2,1,0,1,1,50.0,0.0,50.0
2599800,Spanking Runners,"Adventure, Indie, Racing",0-5,"Racing, Arcade, Combat Racing, 3D, Third Person, Old School, PvP, Turn-Based Combat, Singleplayer, Local Multiplayer","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Remote Play Together, Family Sharing",멀티/협동 요소 포함,1,1,0,0,0,100.0,0.0,0.0
2607640,Rolling Toolman 2 Deathly Traps,"Adventure, Casual, Indie",0-5,"Casual, Adventure, Arcade, Walking Simulator, 3D Platformer, Time Management, Hidden Object, Third Person, 3D, Surreal","Single-player, Steam Achievements, Family Sharing",Single-player 중심,5,3,1,1,0,60.0,20.0,0.0
2633170,Front Office Football Nine,"Indie, Simulation, Sports",20-40,"Sports, Simulation, Football (American), Strategy, Choices Matter, Turn-Based Strategy, Immersive Sim, Artificial Intelligence, Indie, Singleplayer","Single-player, Steam Achievements, Family Sharing",Single-player 중심,50,28,15,7,15,56.0,30.0,30.0
2636420,Graveyard Shift,"Adventure, Indie",5-10,"Horror, Dark, Thriller, Adventure, Atmospheric, Realistic, 3D, Exploration, Mystery, Cinematic","Single-player, Steam Achievements, Family Sharing",Single-player 중심,42,19,6,17,12,45.2,14.3,28.6
2674190,Akai Onna,"Casual, Indie",0-5,"Walking Simulator, Horror, First-Person, Casual, 3D, Psychological Horror, Multiple Endings, Linear, Indie, Atmospheric","Single-player, Family Sharing",Single-player 중심,19,10,2,7,1,52.6,10.5,5.3
2696680,BABAVA's Playspace,"Action, Adventure, Indie",0-5,"Adventure, Horror, Indie, Survival Horror, Puzzle, Action, First-Person, Investigation, Psychological Horror, Singleplayer","Single-player, Steam Achievements, Family Sharing",Single-player 중심,2,1,1,0,1,50.0,50.0,50.0
2696780,Space Accident VR,"Action, Adventure, Casual, Indie",10-20,"Adventure, Action, Puzzle, Action-Adventure, Exploration, Precision Platformer, Hidden Object, Creature Collector, VR, Stylized","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",Single-player 중심,13,11,1,1,0,84.6,7.7,0.0
2702020,Phantoms,"Adventure, Indie",5-10,"Adventure, Puzzle, 3D, First-Person, Pixel Graphics, Atmospheric, Dark, Demons, Horror, Old School","Single-player, Steam Achievements, Family Sharing",Single-player 중심,3,2,0,0,0,66.7,0.0,0.0
2732100,Medieval Blacksmith,"Indie, RPG, Simulation",10-20,"RPG, Simulation, Sandbox, Life Sim, Choose Your Own Adventure, Immersive Sim, First-Person, 3D, Realistic, Atmospheric","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,29,12,12,5,8,41.4,41.4,27.6
2737100,Room231,"Action, Adventure, Casual, Indie",0-5,"Horror, Action, Adventure, Singleplayer, First-Person, Psychological Horror, Casual, Survival Horror, Exploration, Action-Adventure","Single-player, Family Sharing",Single-player 중심,3,2,0,1,0,66.7,0.0,0.0
2745620,100 Hidden Cats in China,"Adventure, Indie",0-5,"Adventure, Action-Adventure, Point & Click, Hidden Object, Cute, Combat, Singleplayer, Indie, Cats","Single-player, Family Sharing",Single-player 중심,2,0,2,0,2,0.0,100.0,100.0
2772890,Speglar,"Action, Casual, Indie",0-5,"Top-Down Shooter, PvP, Shooter, Arcade, 2D, Action, Top-Down, Controller, Sci-fi, Space","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,6,6,0,0,0,100.0,0.0,0.0
2775370,Disillusion ST,"Adventure, Indie",10-20,"Adventure, Visual Novel, Walking Simulator, Abstract, Collectathon, Anime, Colorful, Cute, Psychedelic, First-Person","Single-player, Family Sharing",Single-player 중심,39,28,3,6,3,71.8,7.7,7.7
2790330,Blood Typers,"Action, Adventure, Indie",10-20,,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",멀티/협동 요소 포함,100,81,11,8,8,81.0,11.0,8.0
2790680,Welcome to Paradise Island,"Indie, RPG",10-20,,"Single-player, Family Sharing",Single-player 중심,5,3,2,0,2,60.0,40.0,40.0
2800510,Job Joust,"Action, Indie",5-10,,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,7,7,0,0,0,100.0,0.0,0.0
2814000,Shelf Life,"Action, Adventure, Indie",0-5,,"Single-player, Steam Achievements, Family Sharing",Single-player 중심,2,1,1,0,0,50.0,50.0,0.0
2824310,Lucky Hunter,"Adventure, Casual, Indie, RPG, Strategy",5-10,,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,37,29,2,6,3,78.4,5.4,8.1
2824660,Old School Rally,"Indie, Racing, Simulation",10-20,,"Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",Single-player 중심,100,65,19,16,14,65.0,19.0,14.0
2826180,Chill Pulse,"Adventure, Casual, Indie, Simulation",0-5,,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",멀티/협동 요소 포함,41,35,3,2,1,85.4,7.3,2.4
2831060,Moving Houses,"Casual, Indie, Simulation",10-20,,"Single-player, Steam Achievements, Full controller support, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Steam Cloud, Family Sharing",Single-player 중심,99,53,26,19,12,53.5,26.3,12.1
2832170,废材队友,"Adventure, Indie, RPG",0-5,,"Single-player, Steam Achievements, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
2845400,Finding Cats In Breeze Village,"Adventure, Casual, Indie",0-5,,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",Single-player 중심,11,9,0,2,0,81.8,0.0,0.0
2850190,灾厄黑龙与谎言公主,"Adventure, Indie, RPG",5-10,,"Single-player, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
2852980,Necroking,"Adventure, Indie, Strategy",0-5,,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,84,54,16,14,9,64.3,19.0,10.7
2855770,The Fear Business,"Adventure, Indie",5-10,,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,29,25,3,1,2,86.2,10.3,6.9
2863790,FolkOrigin,"Indie, Strategy",5-10,,"Single-player, Steam Achievements, Family Sharing",Single-player 중심,1,0,1,0,0,0.0,100.0,0.0
2866600,Project13: Nightwatch,"Indie, Simulation",0-5,,"Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",Single-player 중심,10,8,1,1,1,80.0,10.0,10.0
2899020,Political Punchers Parody Arena,"Action, Casual, Indie, Sports",5-10,,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support",멀티/협동 요소 포함,1,1,0,0,0,100.0,0.0,0.0
2951840,Arisen Force: HeroTest,"Action, Adventure, Indie, RPG",10-20,,"Single-player, Steam Achievements, Full controller support, Steam Cloud",Single-player 중심,12,8,0,4,0,66.7,0.0,0.0
2954260,FINAL SPIN,"Casual, Indie, Strategy",0-5,,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Partial Controller Support, Family Sharing",멀티/협동 요소 포함,3,3,0,0,0,100.0,0.0,0.0
2990640,Endoparasitic 2,"Action, Adventure, Indie",10-20,,"Single-player, Family Sharing",Single-player 중심,100,66,13,20,9,66.0,13.0,9.0
3001200,Tails Noir: Rebel Rush,"Action, Indie, Racing",0-5,,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",Single-player 중심,33,31,0,2,0,93.9,0.0,0.0
3016840,I Am Cat,"Adventure, Casual, Indie, Simulation",10-20,,"Single-player, Tracked Controller Support, VR Only, In-App Purchases, Family Sharing",Single-player 중심,44,15,16,11,20,34.1,36.4,45.5
3029260,Number Stomper,"Casual, Indie, Strategy",0-5,,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,6,6,0,0,0,100.0,0.0,0.0
3030490,Direction!LevelUP!,"Casual, Indie",0-5,,"Single-player, Steam Achievements, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
3034520,The Fox's Way Home,"Adventure, Casual, Indie",0-5,,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,3,1,0,2,0,33.3,0.0,0.0
3048760,Slay the Alice,"Adventure, Casual, Indie",0-5,,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",Single-player 중심,4,4,0,0,0,100.0,0.0,0.0
3053420,An Unexpectedly Green Journey,"Adventure, Indie, RPG",10-20,,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",Single-player 중심,11,11,0,0,0,100.0,0.0,0.0
3102800,Exovoid Carnage,"Action, Indie",10-20,,"Single-player, Family Sharing",Single-player 중심,13,13,0,0,0,100.0,0.0,0.0
3105620,Everseeker: Little Critters,"Casual, Indie",0-5,,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Color Alternatives, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Save Anytime, Touch Only Option, Steam Cloud, Stats, Steam Leaderboards, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing, Steam Timeline",Single-player 중심,4,1,0,3,0,25.0,0.0,0.0
3116720,Five Nights At Skibidi Toilets,"Action, Indie, Strategy",0-5,,"Single-player, Family Sharing",Single-player 중심,10,6,3,1,2,60.0,30.0,20.0
3126420,Departed,"Casual, Indie",0-5,,"Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",Single-player 중심,8,8,0,0,0,100.0,0.0,0.0
3150440,Laundry Store Simulator,"Indie, Simulation",5-10,,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,94,44,28,22,36,46.8,29.8,38.3
3169790,Haneda Girl,"Action, Indie",10-20,,"Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Playable without Timed Input, Family Sharing",Single-player 중심,26,21,1,3,2,80.8,3.8,7.7
3171530,Lord of the Click 4,"Action, Indie, Strategy",0-5,,"Single-player, Steam Achievements, Full controller support, Family Sharing",Single-player 중심,11,9,0,2,0,81.8,0.0,0.0
3176750,Let's play Cards Baccarat,"Casual, Indie, Sports",0-5,,"Single-player, Remote Play Together, HDR available, Family Sharing",Single-player 중심,65,59,3,3,3,90.8,4.6,4.6
3181670,Periodicity - Hats and scars,"Action, Casual, Indie",0-5,,"Single-player, Steam Achievements, Camera Comfort, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Stereo Sound, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",Single-player 중심,2,1,1,0,1,50.0,50.0,50.0
3189900,Brave Village,"Adventure, Casual, Indie, Simulation, Strategy",0-5,,"Single-player, Family Sharing",Single-player 중심,3,0,0,3,1,0.0,0.0,33.3
3220860,Tiny Boxes,"Casual, Indie",5-10,,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",Single-player 중심,6,6,0,0,0,100.0,0.0,0.0
3223390,BLACKSHARD,"Adventure, Indie",10-20,,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,62,54,0,8,2,87.1,0.0,3.2
3265280,Pic-Me!,"Casual, Indie, Strategy",5-10,,"Multi-player, PvP, Online PvP, Steam Workshop, Steam Cloud, Family Sharing",멀티/협동 요소 포함,6,4,1,1,0,66.7,16.7,0.0
3279980,Dicey Tales,"Indie, RPG, Strategy",10-20,,,Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
3335120,Coconut Simulator,"Action, Adventure, Casual, Indie, Simulation",0-5,,"Single-player, Steam Achievements, Family Sharing",Single-player 중심,17,15,2,0,2,88.2,11.8,11.8
3350790,Banana Ragdoll,"Action, Adventure, Indie, Simulation",0-5,,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
3376130,Perplex,"Action, Casual, Indie, Strategy",0-5,,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Family Sharing",멀티/협동 요소 포함,10,9,0,1,0,90.0,0.0,0.0
3424020,Letterlike,"Casual, Indie, Strategy",5-10,,"Single-player, Partial Controller Support, Family Sharing",Single-player 중심,14,12,0,2,0,85.7,0.0,0.0
3452740,Oil Refinery - The Simulation,"Indie, Simulation",10-20,,"Single-player, Full controller support, Family Sharing",Single-player 중심,7,0,5,2,6,0.0,71.4,85.7
3505700,Lobotomy,"Adventure, Indie",0-5,,"Single-player, Steam Achievements, Custom Volume Controls, Family Sharing",Single-player 중심,6,6,0,0,0,100.0,0.0,0.0
3549430,Veins of DARKNESS,"Action, Adventure, Indie",0-5,,"Single-player, Family Sharing",Single-player 중심,16,12,0,4,0,75.0,0.0,0.0
3554810,Neverending AI Storybook,"Adventure, Casual, Indie, Simulation",0-5,,"Single-player, Family Sharing",Single-player 중심,3,1,1,1,1,33.3,33.3,33.3
3570430,Snakecremental,"Casual, Indie, Simulation",0-5,,"Single-player, Steam Achievements, Full controller support, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Save Anytime, Steam Cloud, Family Sharing",Single-player 중심,57,40,7,10,4,70.2,12.3,7.0
3574160,Shimagami,"Action, Adventure, Indie",0-5,,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",Single-player 중심,3,1,0,2,0,33.3,0.0,0.0
3646280,World Alone: Dreampools,"Indie, Simulation",0-5,,"Single-player, Family Sharing",Single-player 중심,14,9,3,2,2,64.3,21.4,14.3
3703930,Balls Gone Wild,"Adventure, Casual, Indie, Sports",20-40,,"Single-player, Family Sharing",Single-player 중심,59,44,10,4,8,74.6,16.9,13.6
